카테고리,회사명,제품,가격,사용시간,흡입력
핸디/스틱청소기,마끼다,CL100DZ,30690,12.0,
핸디/스틱청소기,삼성전자,제트 VS15R8543S1,467000,40.0,150.0
핸디/스틱청소기,DIBEA,M500 클래스,239000,50.0,200.0
핸디/스틱청소기,다이슨,디지털 슬림 플러피,643070,40.0,100.0
핸디/스틱청소기,LG전자,코드제로 이지스틱 S739VA,333000,,
핸디/스틱청소기,신일전자,SVC-S500YT,34410,9.0,60.0
핸디/스틱청소기,삼성전자,제트 VS15R8577S5CW,662440,80.0,150.0
핸디/스틱청소기,아이룸,D10,124000,35.0,25.0
핸디/스틱청소기,삼성전자,제트 VS20R9044SB,595730,60.0,200.0
핸디/스틱청소기,테팔,에어포스 라이트 TY6545KL,92070,30.0,
핸디/스틱청소기,블랙앤데커,EBHHV320B02,76480,18.0,
핸디/스틱청소기,신일전자,SVC-DC2200SK,103000,35.0,
핸디/스틱청소기,쿠쿠전자,인스퓨어 파워클론 CVC-A1410UG,339000,35.0,230.0
핸디/스틱청소기,델로라,V11 파워 300W,128580,70.0,220.0
핸디/스틱청소기,샤오미,드리미 V9P,160080,60.0,200.0
핸디/스틱청소기,일렉트로룩스,라피도 ZB5106,47360,11.0,
핸디/스틱청소기,듀플렉스,DP-485VC,20600,,
핸디/스틱청소기,DIBEA,M500 퀀텀,236600,50.0,250.0
핸디/스틱청소기,에이스전자,AVG-LC9600BT,137010,,210.0
핸디/스틱청소기,퍼피유,T12R,326970,60.0,290.0
핸디/스틱청소기,보만,VC7210,36400,,
핸디/스틱청소기,한샘,스톰건 V12 VC-R201,228990,35.0,200.0
핸디/스틱청소기,BDC,얼티메이트,59790,40.0,80.0
핸디/스틱청소기,삼성전자,제트 VS20T9259SFCS,905950,120.0,200.0
핸디/스틱청소기,샤오미,드리미 VC11,99000,,
핸디/스틱청소기,루베크,CM-268,20410,8.0,
핸디/스틱청소기,삼성전자,제트 VS20R9044SC,595900,60.0,200.0
핸디/스틱청소기,DIBEA,P20 MAX,92980,,170.0
핸디/스틱청소기,테팔,에어포스360 라이트 TY5516KJ,389000,66.0,
핸디/스틱청소기,아이코넬,VC-K350W,78920,25.0,250.0
핸디/스틱청소기,DIBEA,F20 맥스,199000,50.0,250.0
핸디/스틱청소기,오토모,AVC-OTOA3,354460,30.0,200.0
핸디/스틱청소기,샤오미,VIOMI A9 V-HWVC12A,269000,60.0,230.0
핸디/스틱청소기,BSW,BS-14048-VC,29230,,
핸디/스틱청소기,보쉬,글래스 백,114380,30.0,
핸디/스틱청소기,샤오미,유핀 CL99,44290,50.0,
핸디/스틱청소기,로보락,H6,429000,90.0,250.0
핸디/스틱청소기,원더스리빙,원더스 다이나킹 Z4,96030,30.0,180.0
핸디/스틱청소기,DIBEA,Z10 프로,99000,30.0,180.0
핸디/스틱청소기,베이스어스,C2 데스크 캡슐 청소기,9900,20.0,
핸디/스틱청소기,홈마블,H80BL,79000,45.0,115.0
핸디/스틱청소기,무궁화전자,바로바로 MC-B250,39820,20.0,
핸디/스틱청소기,일렉트로룩스,PURE F9 PF91-6BWF,397390,60.0,
핸디/스틱청소기,일렉트로룩스,에르고라피도 ZB3316AK,173440,48.0,
핸디/스틱청소기,DIBEA,X30,199000,50.0,250.0
핸디/스틱청소기,무궁화전자,다이아린 DHV-555,85000,,
핸디/스틱청소기,한샘,BLDC 올인원 무선청소기,147460,30.0,200.0
핸디/스틱청소기,아이룸,F1,68000,25.0,130.0
핸디/스틱청소기,아이룸,AST-009 플러스 맥스,117950,,120.0
핸디/스틱청소기,보쉬,GAS10.8V-LI,39810,7.0,
핸디/스틱청소기,샤오미,MJWXCQ03DY,78210,45.0,100.0
핸디/스틱청소기,메디하임,K19,116130,35.0,85.0
핸디/스틱청소기,샤오미,로이드미 Z1,269610,60.0,220.0
핸디/스틱청소기,아이룸,RS7,181440,,260.0
핸디/스틱청소기,캐치웰,NEW F7 플러스,169000,35.0,220.0
핸디/스틱청소기,신일전자,SVC-650SG,34150,,
핸디/스틱청소기,블랙앤데커,파워 익스트림 TBSV2020,223270,60.0,40.0
핸디/스틱청소기,마끼다,DCL182ZW,41190,40.0,
핸디/스틱청소기,샤크,EVO POWER PLUS,156750,12.0,
핸디/스틱청소기,DIBEA,NEW S9,169000,30.0,220.0
핸디/스틱청소기,신일전자,SVC-750SG,53000,15.0,
핸디/스틱청소기,삼성전자,제트 VS20T9277Q3,927050,120.0,200.0
핸디/스틱청소기,캐치웰,코드엑스,189000,60.0,220.0
핸디/스틱청소기,일렉트로룩스,에르고라피도 ZB3324B,249660,48.0,
핸디/스틱청소기,비브르,스톰파워 VE30,233000,40.0,250.0
핸디/스틱청소기,DIBEA,NEW X10 플러스,149000,30.0,190.0
핸디/스틱청소기,오아,OA-CL010,79000,25.0,130.0
핸디/스틱청소기,보아르,포스 B25,219000,60.0,250.0
핸디/스틱청소기,테팔,엑스퍼트 3.60 TY6974,259000,45.0,
핸디/스틱청소기,일렉트로룩스,PURE Q9 PQ91-3EM,317510,55.0,
핸디/스틱청소기,샤오미,G10,239000,65.0,150.0
핸디/스틱청소기,신일전자,SVC-680G,28590,15.0,
핸디/스틱청소기,삼성전자,VC-H20,30350,10.0,
핸디/스틱청소기,에이스전자,AVC-81531DM,30000,20.0,
핸디/스틱청소기,삼성전자,제트 VS20R9074S2WBCS,950000,120.0,200.0
핸디/스틱청소기,도노,SY-306,179000,80.0,220.0
핸디/스틱청소기,일렉트로룩스,PURE Q9 PQ91-3OB,327120,55.0,
핸디/스틱청소기,일렉트로룩스,에르고라피도 파워프로 ZB3423BO,276160,48.0,
핸디/스틱청소기,블랙앤데커,BHHV315B06,63390,16.0,
핸디/스틱청소기,테팔,엑스퍼트 3.60 TY6933,179010,45.0,
핸디/스틱청소기,블랙앤데커,PV1420MEXT,81200,11.0,28.0
핸디/스틱청소기,블랙앤데커,WD7201,31900,8.0,
핸디/스틱청소기,테팔,에어포스 익스트림 사일런스 TY8949,119000,45.0,
핸디/스틱청소기,신일전자,SVC-R220UB,88060,20.0,130.0
핸디/스틱청소기,다이슨,디지털 슬림 플러피 프로,931000,40.0,100.0
핸디/스틱청소기,테팔,에어포스360 TY7233KO,189680,45.0,
핸디/스틱청소기,보아스,VO802R,1102000,50.0,100.0
핸디/스틱청소기,다이슨,V11 토크 드라이브 플러스,1498930,60.0,220.0
핸디/스틱청소기,오토모,AVC-OTOA6,199000,60.0,200.0
핸디/스틱청소기,대웅모닝컴,DWVC-AC800KP,24450,,
핸디/스틱청소기,유니맥스,UVC-1686A,30900,,
핸디/스틱청소기,BDC,벨라,47421,30.0,
핸디/스틱청소기,신일전자,SVC-C2025SJ,96080,40.0,130.0
